"Aug 22, 2017","3,940.0","3,998.9","3,998.9","3,600.0","-1.56"
"Aug 21, 2017","4,002.5","4,066.3","4,093.5","3,956.4","-1.52"
"Aug 20, 2017","4,064.3","4,145.0","4,192.0","4,040.9","-1.95"
"Aug 19, 2017","4,145.1","4,088.2","4,184.1","3,920.0","1.34"
"Aug 18, 2017","4,090.2","4,269.7","4,359.0","3,957.0","-3.99"
"Aug 17, 2017","4,260.0","4,386.4","4,489.1","4,178.1","-2.88"
"Aug 16, 2017","4,386.3","4,160.0","4,403.6","3,928.1","5.65"
"Aug 15, 2017","4,151.9","4,321.0","4,430.0","3,841.9","-3.88"
"Aug 14, 2017","4,319.5","4,061.6","4,330.3","3,969.3","6.57"
"Aug 13, 2017","4,053.3","3,866.2","4,183.7","3,836.1","4.86"
"Aug 12, 2017","3,865.5","3,643.4","3,965.4","3,590.0","6.08"
"Aug 11, 2017","3,644.1","3,404.7","3,690.6","3,380.0","6.93"
"Aug 10, 2017","3,407.9","3,340.2","3,444.4","3,310.0","2.04"
"Aug 09, 2017","3,339.9","3,415.0","3,424.4","3,236.8","-2.20"
"Aug 08, 2017","3,415.0","3,395.0","3,482.9","3,343.8","0.54"
"Aug 07, 2017","3,396.7","3,232.5","3,440.0","3,190.0","5.23"
"Aug 06, 2017","3,227.9","3,255.0","3,309.8","3,156.0","-0.88"
"Aug 05, 2017","3,256.4","2,860.0","3,331.9","2,855.0","13.86"
"Aug 04, 2017","2,860.0","2,790.3","2,874.8","2,762.6","2.50"
"Aug 03, 2017","2,790.3","2,702.0","2,813.0","2,698.0","3.27"
"Aug 02, 2017","2,702.0","2,733.8","2,757.8","2,640.0","-1.07"
"Aug 01, 2017","2,731.2","2,854.3","2,901.6","2,615.8","-4.37"
"Jul 31, 2017","2,856.0","2,748.9","2,883.5","2,694.8","3.89"
"Jul 30, 2017","2,749.0","2,713.7","2,756.2","2,595.0","1.29"
"Jul 29, 2017","2,714.1","2,784.8","2,794.2","2,662.6","-2.54"
"Jul 28, 2017","2,784.8","2,664.6","2,819.9","2,655.5","4.50"
"Jul 27, 2017","2,664.9","2,527.7","2,682.2","2,511.0","5.51"
"Jul 26, 2017","2,525.7","2,560.9","2,612.0","2,404.6","-1.37"
"Jul 25, 2017","2,560.9","2,769.7","2,790.1","2,435.7","-7.54"
"Jul 24, 2017","2,769.7","2,750.1","2,812.0","2,707.3","0.81"
"Jul 23, 2017","2,747.5","2,845.7","2,875.7","2,656.2","-3.45"
"Jul 22, 2017","2,845.7","2,659.0","2,912.9","2,642.8","6.82"
"Jul 21, 2017","2,664.0","2,874.5","2,874.5","2,615.0","-6.73"
"Jul 20, 2017","2,856.3","2,253.3","2,919.9","2,253.3","26.77"
"Jul 19, 2017","2,253.1","2,302.2","2,399.9","2,214.2","-2.13"
"Jul 18, 2017","2,302.1","2,220.0","2,380.2","2,139.8","3.74"
"Jul 17, 2017","2,219.0","1,925.0","2,223.3","1,924.1","15.28"
"Jul 16, 2017","1,924.9","1,979.7","2,048.8","1,835.8","-2.71"
"Jul 15, 2017","1,978.6","2,206.5","2,210.1","1,975.7","-10.27"
"Jul 14, 2017","2,205.1","2,329.4","2,345.6","2,138.0","-5.32"
"Jul 13, 2017","2,329.0","2,375.6","2,400.0","2,293.8","-1.91"
"Jul 12, 2017","2,374.4","2,285.6","2,394.0","2,195.8","4.04"
"Jul 11, 2017","2,282.1","2,318.3","2,372.8","2,183.3","-1.56"
"Jul 10, 2017","2,318.3","2,477.9","2,498.1","2,240.0","-6.44"
"Jul 09, 2017","2,478.0","2,542.0","2,555.6","2,473.7","-2.52"
"Jul 08, 2017","2,542.0","2,479.3","2,542.6","2,436.8","2.53"
"Jul 07, 2017","2,479.3","2,593.2","2,598.0","2,447.0","-4.39"
"Jul 06, 2017","2,593.1","2,598.6","2,603.3","2,546.0","-0.21"
